"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v17668",1243.80035512779,504.907878110324,238.008088766472,2.9754951106903,310815785496.043,10512047.7701,1497669.6737
"v17678",2837.80487953956,160.047670187641,272.34780657323,0.962484631764529,278313874339.67,-8287952.2299,1397669.6737
"v17679",3830.89590466696,214.613464472987,406.751160321839,1.10911650524944,133299829905.909,-8187952.2299,1397669.6737
"v17682",4052.53636812643,343.916945336242,255.941745002774,2.44664245231158,216552122763.774,-7187952.2299,1397669.6737
"v17683",6154.31312388589,1281.4013705751,334.097300471013,7.28790886728738,180528473831.118,-7087952.2299,1397669.6737
"v17684",2724.63418261019,322.730771906547,170.364281740501,1.94878047659102,181680316474.97,-6987952.2299,1397669.6737
"v17688",1329.77036921675,87.5734541373562,95.1389672451577,0.5810109472483,312252698484.502,-6587952.2299,1397669.6737
"v17693",2103.04871973152,154.491716702822,103.068504352315,0.673183767458006,120067935748.769,-5987952.2299,1397669.6737
"v17792",7965.30665968168,411.133496466143,602.323694875542,2.40187660690595,91621160592.7141,-8187952.2299,1297669.6737
"v17793",8381.0539338937,656.801906528663,433.990349144127,3.45120711595192,160539069883.769,-8087952.2299,1297669.6737
"v17794",3693.48682913164,268.388586517287,152.499369405391,1.55534261734414,179197622294.324,-7987952.2299,1297669.6737
"v17796",1531.74708060454,70.5956542527878,94.4849978107203,0.503797188905147,60957452763.2662,-7187952.2299,1297669.6737
"v17797",5836.2896681785,682.888613044399,140.109804818128,4.48582709096451,90718719969.8491,-7087952.2299,1297669.6737
"v17798",2771.3807655909,804.821184498582,180.351100544022,4.29115999972138,195293256057.119,-6987952.2299,1297669.6737
"v17800",1611.60387941361,236.535139616754,95.1080383979244,1.59984424179018,151564379243.343,-6787952.2299,1297669.6737
"v17801",2555.80023139078,257.57925206436,124.560208807541,1.30825036447393,217113614347.793,-6687952.2299,1297669.6737
"v17802",3590.83830593693,309.777286220665,108.094024472404,1.62254111619127,127100347021.197,-6587952.2299,1297669.6737
"v17803",3780.09038357109,373.257771226349,103.944044719122,2.15075370288996,160381833283.709,-6487952.2299,1297669.6737
"v17804",3136.01793256629,276.523669379936,117.057479966665,1.8130196718532,151892891851.291,-6387952.2299,1297669.6737
"v17806",2151.64859179757,427.776525839489,181.745124973754,2.66515267416032,143554505239.776,-6187952.2299,1297669.6737
"v17807",2540.86513064775,280.79381249648,110.215180943644,1.82323571741729,51963592935.8424,-6087952.2299,1297669.6737
"v17895",1686.58824019439,237.757014292194,367.48352527698,1.02744607707386,164710413894.451,11912047.7701,1297669.6737
"v17901",2096.3148134547,193.840488835567,310.329191134591,1.10238323616494,143673697164.789,-8187952.2299,1197669.6737
"v17902",8939.6410982436,816.748030819525,330.50369560568,4.74755793699538,96842349353.1942,-8087952.2299,1197669.6737
"v17903",9008.83519573755,778.16413160815,274.568260020137,4.43595378674546,193893046934.369,-7987952.2299,1197669.6737
"v17906",2464.16919523537,152.742607076426,263.826602522305,0.868707549508974,251321044705.845,-7687952.2299,1197669.6737
"v17907",2293.1504542794,108.578218409807,281.123703938662,0.677026139545103,291887808076.861,-7587952.2299,1197669.6737
"v17908",1266.47253350995,149.138899787212,385.372903540892,0.796192182850987,NA,-7487952.2299,1197669.6737
"v17912",2278.55593684908,493.379307116742,260.991529919666,3.13119259534813,83436262824.159,-7087952.2299,1197669.6737
"v17913",1879.09041360663,104.600876194535,321.775495858894,0.623005489270623,180955361491.948,-6987952.2299,1197669.6737
"v17914",2225.23605570898,380.57068462564,143.980212692238,1.75227565410909,235056116723.094,-6887952.2299,1197669.6737
"v17915",3405.33797667939,810.389626148822,162.33490513596,4.18368210091554,118389421849.982,-6787952.2299,1197669.6737
"v17916",2089.49364756339,438.976936736788,114.39145298093,2.3465341429691,97048003797.0843,-6687952.2299,1197669.6737
"v1819",1404.44026914824,386.168574669822,164.752208866989,2.12176718916938,335400253234.447,2812047.7701,-602330.326300001
"v1827",1225.13004235669,222.201501151955,57.7396606721345,1.14795235294852,40889753173.5271,3612047.7701,-602330.326300001
"v1828",3241.03645470266,438.709969617574,204.090711075157,2.46812021929894,149518939038.268,3712047.7701,-602330.326300001
"v1829",1749.64417213784,43.5051013225499,200.017580990387,0.328634973000142,302433394372.461,3812047.7701,-602330.326300001
"v1846",1696.57085508375,125.105528494746,145.946943357864,0.476780974044585,337691247109.183,13212047.7701,-602330.326300001
"v1847",1974.49798696342,301.989476349553,214.848704675864,1.4374840975448,319707360151.279,13312047.7701,-602330.326300001
"v1848",2123.68192965484,835.907878397681,335.431528997294,5.01634352554683,344506130315.818,13412047.7701,-602330.326300001
